Comment,Date,Eval_Annot_Dataset,Eval_Loss,Experiment_Name,Learning_Rate,Loss,Max_Seq_Length,Model,Num_Train_Epochs,Train_Annot_Dataset,User,accuracy,f1_macro,f1_micro,f1_negative,f1_neutral,f1_positive,f1_weighted,precision_macro,precision_micro,precision_negative,precision_neutral,precision_positive,precision_weighted,recall_macro,recall_micro,recall_negative,recall_neutral,recall_positive,recall_weighted
No Comment,2020-02-09 19:13:43.982318,cb-annot-en,0.6409587,translate-cb-annot-en-cb-annot-en,2e-05,0.6956925,128,bert_model.ckpt,5,cb-annot-en,TPU2,0.8645,0.7597565669892911,0.8645,0.5104602510460251,0.9159705159705159,0.8528389339513325,0.860052086965429,0.8085687225821504,0.8645,0.6853932584269663,0.9385699899295066,0.8017429193899782,0.8643035985688466,0.7373305123218655,0.8645,0.4066666666666667,0.8944337811900192,0.9108910891089109,0.8645
No Comment,2020-02-09 19:14:33.807558,cb-annot-en,0.45744172,zeroshot-cb-annot-en-cb-annot-en,2e-05,0.48554355,128,bert_model.ckpt,3,cb-annot-en,TPU1,0.8525,0.6286828396759742,0.8525,0.12422360248447205,0.9204152249134947,0.8414096916299558,0.8287826177847682,0.8720196724783881,0.8525,0.9090909090909091,0.9490316004077471,0.7579365079365079,0.8688336312006036,0.6352284364712862,0.8525,0.06666666666666667,0.8934740882917467,0.9455445544554455,0.8525
No Comment,2020-02-09 19:15:58.274314,cb-annot-en-de,1.6880398,zeroshot-cb-annot-en-cb-annot-de,2e-05,1.9323047,128,bert_model.ckpt,3,cb-annot-en,TPU1,0.612,0.3706600704193965,0.612,0.0,0.7379061371841156,0.37407407407407406,0.5355750233988501,0.44469408133623817,0.612,0.0,0.5914351851851852,0.7426470588235294,0.6081671432461874,0.41026871401151627,0.612,0.0,0.980806142034549,0.25,0.612
No Comment,2020-02-09 19:17:22.568772,cb-annot-en-es,0.49706808,zeroshot-cb-annot-en-cb-annot-es,2e-05,0.5278697,128,bert_model.ckpt,3,cb-annot-en,TPU1,0.836,0.5779876348630849,0.836,0.0,0.908908908908909,0.8250539956803455,0.8068633557964011,0.5605305204208682,0.836,0.0,0.9497907949790795,0.7318007662835249,0.7904885137626445,0.6056485686956411,0.836,0.0,0.8714011516314779,0.9455445544554455,0.836
No Comment,2020-02-09 19:18:46.556918,cb-annot-en-fr,0.48737806,zeroshot-cb-annot-en-cb-annot-fr,2e-05,0.5292378,128,bert_model.ckpt,3,cb-annot-en,TPU1,0.8435,0.6039834820102897,0.8435,0.06451612903225806,0.9126703685007572,0.8347639484978541,0.8175846068594469,0.8998229096072546,0.8435,1.0,0.9627263045793397,0.7367424242424242,0.8742243440797753,0.621255666833478,0.8435,0.03333333333333333,0.8675623800383877,0.9628712871287128,0.8435
No Comment,2020-02-09 19:19:32.518035,cb-annot-en-de,0.64716357,translate-cb-annot-de-cb-annot-de,2e-05,0.7121626,128,bert_model.ckpt,5,cb-annot-en-de,TPU2,0.856,0.750065660702862,0.856,0.49799196787148603,0.9139523578026252,0.8382526564344747,0.852172649205057,0.7845751341509106,0.856,0.6262626262626263,0.9261083743842364,0.801354401805869,0.8532193383534552,0.7313858429988871,0.856,0.41333333333333333,0.9021113243761996,0.8787128712871287,0.856
No Comment,2020-02-09 19:20:12.714385,cb-annot-en-pt,0.54455215,zeroshot-cb-annot-en-cb-annot-pt,2e-05,0.59080744,128,bert_model.ckpt,3,cb-annot-en,TPU1,0.8265,0.5788819414429052,0.8265,0.026143790849673203,0.8977217644207465,0.8127802690582959,0.7980370522764859,0.77214950073948,0.8265,0.6666666666666666,0.9069539666993144,0.742827868852459,0.8226254756667363,0.5997620616188298,0.8265,0.013333333333333334,0.8886756238003839,0.8972772277227723,0.8265
No Comment,2020-02-09 19:21:35.635029,cb-annot-en,0.45744172,translate-cb-annot-en-cb-annot-en,2e-05,0.48554355,128,bert_model.ckpt,3,cb-annot-en,TPU1,0.8525,0.6286828396759742,0.8525,0.12422360248447205,0.9204152249134947,0.8414096916299558,0.8287826177847682,0.8720196724783881,0.8525,0.9090909090909091,0.9490316004077471,0.7579365079365079,0.8688336312006036,0.6352284364712862,0.8525,0.06666666666666667,0.8934740882917467,0.9455445544554455,0.8525
No Comment,2020-02-09 19:25:08.268771,cb-annot-en-es,0.590465,translate-cb-annot-es-cb-annot-es,2e-05,0.6963414,128,bert_model.ckpt,5,cb-annot-en-es,TPU2,0.858,0.7314511903383499,0.858,0.42914979757085014,0.9190499272903538,0.8461538461538461,0.8528574007822419,0.7618502726990318,0.858,0.5463917525773195,0.9285014691478942,0.8106575963718821,0.8522343158035921,0.7160077303315745,0.858,0.35333333333333333,0.9097888675623801,0.8849009900990099,0.858
No Comment,2020-02-09 19:27:12.580470,cb-annot-en-de,0.4777897,translate-cb-annot-de-cb-annot-de,2e-05,0.46481487,128,bert_model.ckpt,3,cb-annot-en-de,TPU1,0.8545,0.7242155756494703,0.8545,0.41702127659574467,0.9162656400384986,0.8393598103141672,0.8477523575716623,0.766950086002485,0.8545,0.5764705882352941,0.918918918918919,0.8054607508532423,0.8473981942191138,0.7055106431948377,0.8545,0.32666666666666666,0.9136276391554703,0.8762376237623762,0.8545
