Comment,Date,Eval_Annot_Dataset,Eval_Loss,Experiment_Name,Learning_Rate,Loss,Max_Seq_Length,Model,Num_Train_Iterations,Train_Annot_Dataset,User,accuracy,f1_macro,f1_micro,f1_negative,f1_neutral,f1_positive,f1_weighted,precision_macro,precision_micro,precision_negative,precision_neutral,precision_positive,precision_weighted,recall_macro,recall_micro,recall_negative,recall_neutral,recall_positive,recall_weighted
No Comment,2020-02-10 13:13:45.552417,cb-annot-en-de,0.52468395,multitranslate-cb-annot-en-de-fr-escb-annot-de,2e-05,0.5413,128,bert_model.ckpt,100,cb-annot-en-de-fr-es,TPU1,0.823,0.5697737654258513,0.823,0.0,0.893573264781491,0.815748031496063,0.7951138756755664,0.5568810269155821,0.823,0.0,0.9623477297895903,0.7082953509571559,0.7875344890070676,0.5985355973217283,0.823,0.0,0.8339731285988484,0.9616336633663366,0.823
No Comment,2020-02-10 13:15:11.269652,cb-annot-en-es,0.51660407,multitranslate-cb-annot-en-de-fr-es-cb-annot-es,2e-05,0.5289555,128,bert_model.ckpt,100,cb-annot-en-de-fr-es,TPU1,0.821,0.5685103384946645,0.821,0.0,0.8915289256198348,0.8140020898641588,0.7933434145530541,0.5565547828737022,0.821,0.0,0.9653243847874721,0.7043399638336347,0.7874873498630613,0.597441294033434,0.821,0.0,0.8282149712092131,0.9641089108910891,0.821
No Comment,2020-02-10 13:16:34.968026,cb-annot-en-fr,0.5122118,multitranslate-cb-annot-en-de-fr-es-cb-annot-fr,2e-05,0.5264108,128,bert_model.ckpt,100,cb-annot-en-de-fr-es,TPU1,0.828,0.5733092243752361,0.828,0.0,0.8979381443298969,0.8219895287958114,0.7999095428293841,0.5607581275591251,0.828,0.0,0.9699331848552338,0.7123411978221416,0.793121033229722,0.6024757226202467,0.828,0.0,0.8358925143953935,0.9715346534653465,0.828
No Comment,2020-02-10 13:17:59.391298,cb-annot-en-pt,0.5181826,multitranslate-cb-annot-en-de-fr-es-cb-annot-pt,2e-05,0.5302177,128,bert_model.ckpt,100,cb-annot-en-de-fr-es,TPU1,0.8255,0.5716179177098285,0.8255,0.0,0.895198760970573,0.8196549921589127,0.7975391712978693,0.5594057820807739,0.8255,0.0,0.9687150837988827,0.709502262443439,0.7913394726863673,0.6007835908350913,0.8255,0.0,0.8320537428023033,0.9702970297029703,0.8255
No Comment,2020-02-10 13:23:23.993400,cb-annot-en,0.45458817,zeroshot-cb-annot-en-cb-annot-en,2e-05,0.4663689,128,bert_model.ckpt,100,cb-annot-en,TPU1,0.8425,0.5826394083814194,0.8425,0.0,0.9150326797385622,0.8328855454056958,0.813217786487692,0.5656405509743536,0.8425,0.0,0.9609292502639916,0.7359924026590693,0.7979850700618035,0.6108263177565357,0.8425,0.0,0.8733205374280231,0.9591584158415841,0.8425
No Comment,2020-02-10 13:24:49.147393,cb-annot-en-de,1.7128567,zeroshot-cb-annot-en-cb-annot-de,2e-05,1.8820668,128,bert_model.ckpt,100,cb-annot-en,TPU1,0.5705,0.31790209125712987,0.5705,0.0,0.7111574556830031,0.24254881808838644,0.46850275691855275,0.4242149010541381,0.5705,0.0,0.5574931880108992,0.7151515151515152,0.5793751630748907,0.37593514629773916,0.5705,0.0,0.9817658349328215,0.14603960396039603,0.5705
No Comment,2020-02-10 13:26:13.338449,cb-annot-en-es,0.4954774,zeroshot-cb-annot-en-cb-annot-es,2e-05,0.5302348,128,bert_model.ckpt,100,cb-annot-en,TPU1,0.8245,0.5704699647657602,0.8245,0.0,0.8958862366683595,0.8155236576289208,0.7962282869862993,0.5554248590740053,0.8245,0.0,0.9514563106796117,0.7148182665424044,0.7844953175472091,0.5985688540063219,0.8245,0.0,0.8464491362763915,0.9492574257425742,0.8245
No Comment,2020-02-10 13:27:38.267036,cb-annot-en-fr,0.47801468,zeroshot-cb-annot-en-cb-annot-fr,2e-05,0.5047909,128,bert_model.ckpt,100,cb-annot-en,TPU1,0.831,0.5752496626180836,0.831,0.0,0.9015384615384615,0.8242105263157894,0.8026825910931173,0.5616982136805926,0.831,0.0,0.9680616740088106,0.717032967032967,0.794041450839909,0.604209821174056,0.831,0.0,0.8435700575815739,0.969059405940594,0.831
No Comment,2020-02-10 13:29:01.763567,cb-annot-en-pt,0.51831305,zeroshot-cb-annot-en-cb-annot-pt,2e-05,0.51501644,128,bert_model.ckpt,100,cb-annot-en,TPU1,0.823,0.5686251380691316,0.823,0.0,0.8951533135509395,0.8107221006564552,0.7939066050252475,0.5499799919967987,0.823,0.0,0.923469387755102,0.7264705882352941,0.7746216686674671,0.5952004269524841,0.823,0.0,0.8685220729366603,0.9170792079207921,0.823
No Comment,2020-02-10 13:30:25.936782,cb-annot-en,0.45458817,translate-cb-annot-en-cb-annot-en,2e-05,0.4663689,128,bert_model.ckpt,100,cb-annot-en,TPU1,0.8425,0.5826394083814194,0.8425,0.0,0.9150326797385622,0.8328855454056958,0.813217786487692,0.5656405509743536,0.8425,0.0,0.9609292502639916,0.7359924026590693,0.7979850700618035,0.6108263177565357,0.8425,0.0,0.8733205374280231,0.9591584158415841,0.8425
No Comment,2020-02-10 13:35:53.955875,cb-annot-en-de,0.4838987,translate-cb-annot-de-cb-annot-de,2e-05,0.5074996,128,bert_model.ckpt,100,cb-annot-en-de,TPU1,0.8275,0.5725258307232602,0.8275,0.0,0.899492385786802,0.8180851063829787,0.7991419159736473,0.5573640418596671,0.8275,0.0,0.9547413793103449,0.7173507462686567,0.787229960113227,0.6006735270456028,0.8275,0.0,0.8502879078694817,0.9517326732673267,0.8275
No Comment,2020-02-10 13:41:21.425952,cb-annot-en-es,0.47076246,translate-cb-annot-es-cb-annot-es,2e-05,0.45162418,128,bert_model.ckpt,100,cb-annot-en-es,TPU1,0.8335,0.5766469249267527,0.8335,0.0,0.9052204764318297,0.8247202983484284,0.8048068687537484,0.5610749444773232,0.8335,0.0,0.9591836734693877,0.7240411599625819,0.7922473225024341,0.6049755167455325,0.8335,0.0,0.8570057581573897,0.9579207920792079,0.8335
No Comment,2020-02-10 13:46:45.067292,cb-annot-en-fr,0.4769115,translate-cb-annot-fr-cb-annot-fr,2e-05,0.50013655,128,bert_model.ckpt,100,cb-annot-en-fr,TPU1,0.827,0.5726817837328494,0.827,0.0,0.8971576227390181,0.8208877284595301,0.7990577637446786,0.5606771931847724,0.827,0.0,0.9720044792833147,0.7100271002710027,0.793265282216092,0.6019285709760995,0.827,0.0,0.8330134357005758,0.9727722772277227,0.827
No Comment,2020-02-10 13:52:07.216236,cb-annot-en-pt,0.48617074,translate-cb-annot-pt-cb-annot-pt,2e-05,0.50947875,128,bert_model.ckpt,100,cb-annot-en-pt,TPU1,0.8275,0.5729326571193544,0.8275,0.0,0.898043254376931,0.820754716981132,0.7994654411907584,0.5602356902356903,0.8275,0.0,0.9688888888888889,0.7118181818181818,0.7923656565656565,0.6019705377447534,0.8275,0.0,0.836852207293666,0.969059405940594,0.8275
No Comment,2020-02-10 13:57:57.356350,cb-annot-en,0.49962944,multitranslate-cb-annot-en-de-fr-es-cb-annot-en,2e-05,0.5416034,128,bert_model.ckpt,100,cb-annot-en-de-fr-es,TPU1,0.819,0.5668706854084986,0.819,0.0,0.889002557544757,0.8116094986807388,0.7910605699478369,0.5530863102825284,0.819,0.0,0.9518072289156626,0.7074517019319227,0.781702053845557,0.595235267288725,0.819,0.0,0.8339731285988484,0.9517326732673267,0.819
No Comment,2020-02-10 13:59:22.538309,cb-annot-en-de,0.506611,multitranslate-cb-annot-en-de-fr-escb-annot-de,2e-05,0.5239579,128,bert_model.ckpt,100,cb-annot-en-de-fr-es,TPU1,0.8195,0.5668449197860963,0.8195,0.0,0.8909090909090909,0.8096256684491979,0.7912524064171123,0.551034844609345,0.8195,0.0,0.9402985074626866,0.7128060263653484,0.7778691570396604,0.5944434414650678,0.8195,0.0,0.8464491362763915,0.9368811881188119,0.8195
No Comment,2020-02-10 14:01:14.633664,cb-annot-en-es,0.5113208,multitranslate-cb-annot-en-de-fr-es-cb-annot-es,2e-05,0.552559,128,bert_model.ckpt,100,cb-annot-en-de-fr-es,TPU1,0.817,0.5656071781230478,0.817,0.0,0.8869475847893115,0.8098739495798319,0.7892887673054834,0.5527043903279288,0.817,0.0,0.9546460176991151,0.7034671532846716,0.7815713051482462,0.5941409640004308,0.817,0.0,0.8282149712092131,0.9542079207920792,0.817
No Comment,2020-02-10 14:04:42.884709,cb-annot-en-fr,0.5002287,multitranslate-cb-annot-en-de-fr-es-cb-annot-fr,2e-05,0.5236964,128,bert_model.ckpt,100,cb-annot-en-de-fr-es,TPU1,0.822,0.5692998550755535,0.822,0.0,0.8906168999481597,0.8172826652785007,0.7941936016455056,0.5579113027582535,0.822,0.0,0.9684329199549042,0.7053009883198562,0.7894951505777269,0.5986369510271564,0.822,0.0,0.8243761996161229,0.9715346534653465,0.822
